"timestamp [UTC]",message
"3/17/2021, 10:54:47.233 PM","[270464972:13] SENT: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:453:1:**-test-out-**', handle=0, role=SENDER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:453:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=0, maxMessageSize=null, offeredCapabilities=null, desiredCapabilities=[DELAYED_DELIVERY], properties=null}"
"3/17/2021, 10:54:47.237 PM","[270464972:13] RECV: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:453:1:**-test-out-**', handle=0, role=RECEIVER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:453:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=null, maxMessageSize=1048576, offeredCapabilities=[DELAYED_DELIVERY], desiredCapabilities=null, properties=null}"
"3/17/2021, 10:54:47.238 PM","[270464972:13] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=0, deliveryCount=0, linkCredit=1000, available=0, drain=false, echo=false, properties=null}"
"3/17/2021, 10:54:47.238 PM","[270464972:2] SENT: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 10:54:47.239 PM","[270464972:2] RECV: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 10:54:47.239 PM","[270464972:2] SENT: End{error=null}"
"3/17/2021, 10:54:47.241 PM","[270464972:2] RECV: End{error=null}"
"3/17/2021, 10:55:13.527 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:55:39.834 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:56:06.087 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:56:31.220 PM","[270464972:0] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=null, deliveryCount=null, linkCredit=null, available=null, drain=false, echo=true, properties=null}"
"3/17/2021, 10:56:57.452 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 10:56:57.528 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:57:23.845 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:57:50.139 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:58:16.475 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:58:42.730 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:58:57.452 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 10:59:08.986 PM","[270464972:0] RECV: Empty Frame"
